14/11/1952,HERE IN MY HEART,AL MARTINO,9
16/01/1953,YOU BELONG TO ME,JO STAFFORD,1
23/01/1953,COMES A-LONG A-LOVE,KAY STARR,1
30/01/1953,OUTSIDE OF HEAVEN,EDDIE FISHER,1
06/02/1953,DON'T LET THE STARS GET IN YOUR EYES,PERRY COMO WITH THE RAMBLERS,5
13/03/1953,SHE WEARS RED FEATHERS,GUY MITCHELL,4
10/04/1953,BROKEN WINGS,STARGAZERS,1
17/04/1953,(HOW MUCH IS) THAT DOGGIE IN THE WINDOW,LITA ROZA,1
24/04/1953,I BELIEVE,FRANKIE LAINE,9
26/06/1953,I'M WALKING BEHIND YOU,EDDIE FISHER WITH SALLY SWEETLAND,1
03/07/1953,I BELIEVE,FRANKIE LAINE,6
14/08/1953,THE SONG FROM MOULIN ROUGE,MANTOVANI,1
21/08/1953,I BELIEVE,FRANKIE LAINE,3
11/09/1953,LOOK AT THAT GIRL,GUY MITCHELL,6
23/10/1953,HEY JOE,FRANKIE LAINE,2
06/11/1953,ANSWER ME,DAVID WHITFIELD,1
13/11/1953,ANSWER ME,FRANKIE LAINE,8
11/12/1953,ANSWER ME,DAVID WHITFIELD,1
08/01/1954,OH MEIN PAPA,EDDIE CALVERT,9
12/03/1954,I SEE THE MOON,STARGAZERS,5
16/04/1954,SECRET LOVE,DORIS DAY,1
23/04/1954,I SEE THE MOON,STARGAZERS,1
30/04/1954,SUCH A NIGHT,JOHNNIE RAY,1
08/05/1954,SECRET LOVE,DORIS DAY,8
02/07/1954,CARA MIA,DAVID WHITFIELD, WITH CHORUS AND MANTOVANI AND HIS ORCHESTRA,10
10/09/1954,LITTLE THINGS MEAN A LOT,KITTY KALLEN,1
17/09/1954,THREE COINS IN THE FOUNTAIN,FRANK SINATRA,3
08/10/1954,HOLD MY HAND,DON CORNELL,4
05/11/1954,MY SON MY SON,VERA LYNN,2
19/11/1954,HOLD MY HAND,DON CORNELL,1
26/11/1954,THIS OLE HOUSE,ROSEMARY CLOONEY,1
03/12/1954,LET'S HAVE ANOTHER PARTY,WINIFRED ATWELL,5
07/01/1955,FINGER OF SUSPICION,DICKIE VALENTINE WITH THE STARGAZERS,1
14/01/1955,MAMBO ITALIANO,ROSEMARY CLOONEY WITH THE MELLOMEN,1
21/01/1955,FINGER OF SUSPICION,DICKIE VALENTINE WITH THE STARGAZERS,2
04/02/1955,MAMBO ITALIANO,ROSEMARY CLOONEY WITH THE MELLOMEN,2
18/02/1955,SOFTLY, SOFTLY,RUBY MURRAY,3
11/03/1955,GIVE ME YOUR WORD,TENNESSEE ERNIE FORD,7
29/04/1955,CHERRY PINK AND APPLE BLOSSOM WHITE,PEREZ 'PREZ' PRADO & HIS ORCHESTRA, THE KING OF THE MAMBO,2
13/05/1955,STRANGER IN PARADISE,TONY BENNETT,2
27/05/1955,CHERRY PINK AND APPLE BLOSSOM WHITE,EDDIE CALVERT,4
24/06/1955,UNCHAINED MELODY,JIMMY YOUNG,3
15/07/1955,DREAMBOAT,ALMA COGAN,2
29/07/1955,ROSE MARIE,SLIM WHITMAN,11
14/10/1955,THE MAN FROM LARAMIE,JIMMY YOUNG,4
11/11/1955,HERNANDO'S HIDEAWAY,JOHNSTON BROTHERS,2
25/11/1955,ROCK AROUND THE CLOCK,BILL HALEY & HIS COMETS,3
16/12/1955,CHRISTMAS ALPHABET,DICKIE VALENTINE,3
06/01/1956,ROCK AROUND THE CLOCK,BILL HALEY & HIS COMETS,3
20/01/1956,SIXTEEN TONS,TENNESSEE ERNIE FORD,2
